PID,ArrivalTime,InstructionCount
0,0,200
1,0,1
2,1,4
3,5,4
4,5,4
5,6,2
6,7,1
7,8,5
8,9,5
9,11,4
10,13,3
11,13,4
12,14,3
13,16,4
14,17,5
15,21,5
16,22,4
17,23,1
18,24,3
19,24,3
20,24,4
21,25,2
22,25,3
23,27,3
24,27,3
25,28,5
26,29,4
27,30,4
28,31,3
29,32,2
30,33,4
31,36,5
32,38,4
33,39,4
34,40,5
35,42,3
36,45,2
37,46,5
38,46,1
39,53,4
40,56,4
41,56,1
42,57,5
43,59,5
44,59,4
45,64,3
46,65,4
47,65,3
48,66,2
49,67,4
50,71,5
51,73,3
52,75,5
53,75,5
54,75,4
55,75,2
56,78,4
57,78,4
58,80,2
59,81,3
60,81,4
61,81,2
62,82,1
63,84,5
64,84,2
65,85,2
66,87,1
67,88,5
68,89,1
69,92,5
70,94,3
71,94,5
72,95,5
73,96,1
74,96,4
75,97,2
76,97,4
77,98,1
78,100,5
79,104,2
80,105,4
81,105,4
82,105,5
83,107,2
84,109,5
85,109,5
86,110,3
87,110,5
88,110,4
89,112,5
90,112,5
91,112,2
92,113,1
93,115,5
94,118,3
95,118,3
96,119,1
97,120,3
98,121,3
99,121,4
100,123,3
101,123,2
102,124,3
103,124,5
104,125,1
105,126,2
106,127,2
107,127,2
108,130,3
109,130,2
110,132,1
111,134,3
112,138,3
113,139,1
114,139,2
115,142,5
116,143,2
117,143,3
118,144,5
119,144,1
120,145,5
121,148,2
122,148,2
123,148,4
124,153,1
125,153,5
126,153,1
127,153,1
128,154,1
129,167,1
130,169,5
131,170,4
132,173,2
133,174,4
134,175,1
135,176,4
136,177,5
137,181,2
138,184,4
139,185,3
140,187,4
141,189,3
142,189,3
143,189,3
144,190,2
145,192,3
146,192,2
147,193,4
148,195,4
149,195,5
150,195,3
151,196,3
152,196,5
153,198,2
154,198,4
155,203,2
156,203,1
157,203,4
158,204,1
159,206,2
160,206,5
161,207,2
162,208,3
163,211,5
164,212,4
165,216,3
166,217,5
167,217,4
168,217,3
169,218,4
170,218,5
171,219,2
172,221,5
173,221,2
174,223,4
175,223,3
176,223,4
177,223,1
178,226,2
179,226,5
180,227,3
181,228,4
182,228,2
183,229,2
184,229,5
185,229,4
186,230,3
187,231,4
188,231,4
189,231,1
190,233,2
191,237,2
192,239,2
193,240,5
194,242,2
195,242,4
196,246,5
197,247,3
198,248,5
199,252,1
200,254,1
201,255,3
202,255,1
203,256,5
204,256,2
205,259,12
206,260,15
207,260,6
208,261,6
209,261,15
210,266,13
211,266,12
212,267,13
213,267,13
214,269,14
215,275,15
216,276,10
217,277,6
218,278,13
219,279,12
220,279,6
221,280,9
222,280,13
223,281,15
224,281,13
225,284,8
226,284,13
227,287,15
228,287,13
229,291,6
230,292,14
231,293,9
232,293,10
233,293,11
234,294,10
235,295,13
236,296,14
237,297,7
238,298,15
239,299,12
240,299,7
241,300,1
242,300,1
243,300,5
244,300,5
245,300,1
246,300,5
247,300,5
248,300,2
249,301,7
250,301,12
251,302,15
252,303,15
253,303,14
254,304,7
255,305,6
256,306,9
257,307,7
258,308,13
259,309,14
260,310,12
261,311,6
262,311,8
263,311,7
264,313,14
265,317,8
266,318,8
267,319,14
268,320,11
269,321,9
270,321,10
271,322,13
272,326,9
273,326,9
274,328,10
275,329,7
276,329,14
277,330,10
278,330,6
279,330,15
280,332,9
281,334,7
282,337,8
283,338,11
284,340,11
285,340,15
286,340,14
287,341,11
288,341,11
289,342,14
290,344,9
291,345,14
292,346,13
293,350,11
294,350,13
295,351,7
296,356,15
297,356,10
298,357,8
299,358,15
300,359,9
301,361,13
302,361,12
303,362,15
304,364,9
305,365,14
306,367,14
307,368,9
308,369,11
309,371,10
310,371,11
311,374,15
312,374,15
313,375,15
314,378,11
315,379,7
316,380,9
317,383,12
318,386,12
319,386,10
320,386,14
321,389,9
322,389,14
323,390,14
324,390,15
325,392,14
326,394,15
327,397,9
328,398,6
329,405,11
330,410,8
331,411,8
332,412,8
333,415,14
334,418,11
335,425,10
336,428,11
337,429,12
338,431,10
339,431,14
340,433,14
341,436,7
342,440,11
343,442,13
344,443,8
345,446,6
346,447,7
347,449,15
348,450,15
349,450,9
350,451,14
351,451,15
352,454,7
353,454,13
354,455,15
355,459,12
356,461,7
357,463,6
358,464,7
359,466,15
360,467,12
361,468,9
362,469,11
363,469,7
364,470,6
365,474,13
366,474,12
367,477,11
368,478,15
369,478,9
370,480,6
371,485,13
372,488,9
373,491,14
374,495,7
375,495,14
376,496,6
377,497,9
378,499,14
379,500,12
380,502,12
381,504,14
382,504,15
383,505,15
384,506,15
385,508,9
386,509,13
387,509,15
388,510,8
389,512,7
390,512,8
391,513,12
392,514,10
393,516,12
394,517,7
395,518,9
396,519,14
397,520,10
398,520,12
399,521,6
400,521,11
401,523,8
402,524,13
403,525,11
404,526,7
405,526,12
406,527,8
407,530,6
408,530,9
409,531,13
410,532,8
411,534,15
412,535,8
413,535,11
414,536,12
415,537,12
416,537,10
417,540,9
418,542,12
419,543,10
420,544,15
421,545,11
422,545,8
423,545,8
424,548,14
425,549,8
426,551,7
427,552,10
428,552,15
429,552,13
430,553,14
431,556,12
432,557,6
433,559,12
434,560,11
435,560,13
436,560,14
437,560,11
438,563,9
439,563,6
440,564,15
441,567,10
442,568,13
443,569,15
444,569,12
445,570,12
446,573,9
447,576,11
448,576,14
449,577,12
450,581,13
451,583,11
452,584,11
453,585,14
454,585,14
455,586,12
456,588,11
457,589,8
458,590,14
459,591,11
460,592,13
461,596,12
462,597,15
463,598,12
464,600,8
465,600,14
466,602,6
467,603,6
468,603,11
469,604,15
470,604,13
471,606,14
472,608,14
473,609,14
474,611,12
475,612,9
476,612,12
477,614,12
478,615,10
479,615,6
480,616,7
481,617,12
482,617,8
483,618,6
484,618,11
485,619,8
486,620,8
487,622,8
488,623,12
489,627,11
490,627,14
491,628,8
492,628,10
493,632,12
494,633,10
495,634,8
496,635,13
497,635,13
498,635,8
499,638,13
500,642,11
501,642,10
502,644,6
503,645,12
504,646,15
505,648,13
506,649,7
507,649,9
508,650,8
509,654,6
510,654,7
511,654,12
512,655,8
513,656,22
514,656,28
515,658,17
516,659,31
517,661,26
518,662,23
519,663,17
520,664,34
521,665,29
522,665,37
523,666,20
524,667,26
525,667,23
526,668,17
527,668,21
528,670,19
529,674,34
530,677,18
531,682,30
532,682,35
533,683,28
534,683,40
535,684,20
536,686,39
537,688,29
538,689,34
539,694,20
540,696,20
541,696,38
542,699,24
543,700,23
544,702,26
545,703,18
546,704,35
547,705,20
548,705,35
549,706,32
550,706,27
551,708,32
552,709,17
553,710,35
554,711,18
555,712,21
556,712,25
557,713,17
558,714,40
559,715,32
560,715,36
561,715,33
562,718,37
563,718,37
564,719,17
565,720,25
566,724,28
567,724,20
568,725,22
569,725,16
570,727,28
571,727,21
572,727,35
573,730,17
574,731,28
575,734,32
576,737,25
577,737,37
578,738,36
579,738,38
580,741,29
581,741,19
582,746,20
583,747,35
584,747,39
585,747,36
586,749,40
587,750,23
588,750,25
589,753,30
590,753,27
591,753,23
592,755,18
593,755,38
594,756,33
595,756,21
596,756,34
597,756,27
598,757,30
599,757,27
600,758,16
601,758,35
602,759,24
603,759,21
604,760,33
605,762,38
606,762,26
607,764,33
608,764,21
609,764,37
610,765,20
611,765,21
612,765,33
613,766,25
614,768,36
615,769,22
616,769,38
617,770,29
618,771,30
619,773,26
620,773,17
621,774,24
622,774,29
623,776,32
624,776,16
625,777,33
626,779,36
627,780,18
628,781,37
629,783,36
630,784,37
631,784,22
632,785,33
633,786,40
634,786,35
635,787,37
636,790,36
637,790,22
638,792,16
639,792,26
640,793,35
641,794,29
642,796,38
643,797,21
644,798,22
645,800,22
646,800,25
647,803,17
648,804,23
649,806,39
650,808,37
651,808,30
652,809,23
653,810,31
654,810,38
655,810,38
656,811,25
657,811,16
658,811,40
659,814,40
660,815,18
661,815,35
662,816,38
663,817,35
664,818,23
665,820,29
666,821,40
667,824,21
668,824,31
669,824,28
670,825,22
671,825,27
672,827,20
673,828,28
674,829,29
675,829,37
676,830,30
677,830,36
678,830,27
679,831,22
680,832,30
681,834,40
682,837,35
683,838,31
684,839,27
685,840,17
686,840,17
687,841,27
688,842,24
689,843,27
690,843,28
691,845,31
692,845,19
693,846,23
694,849,30
695,850,29
696,852,22
697,854,40
698,855,16
699,855,35
700,855,19
701,856,30
702,856,24
703,857,25
704,860,29
705,861,35
706,869,40
707,872,31
708,873,17
709,873,21
710,875,31
711,877,31
712,878,36
713,880,20
714,880,27
715,885,30
716,886,20
717,887,39
718,889,34
719,890,28
720,891,21
721,892,25
722,893,25
723,893,30
724,894,31
725,894,19
726,895,35
727,896,16
728,898,39
729,899,32
730,900,1
731,900,3
732,900,4
733,900,1
734,900,2
735,900,4
736,900,5
737,900,4
738,900,3
739,900,4
740,900,3
741,900,4
742,903,36
743,903,26
744,905,40
745,906,24
746,908,24
747,909,32
748,910,26
749,910,30
750,912,30
751,914,17
752,915,17
753,918,24
754,921,30
755,923,21
756,924,32
757,926,33
758,928,17
759,931,30
760,933,35
761,933,37
762,934,16
763,935,20
764,937,36
765,937,16
766,938,28
767,938,22
768,939,27
769,940,24
770,941,20
771,942,29
772,944,40
773,945,34
774,945,20
775,946,92
776,947,93
777,948,50
778,950,56
779,951,51
780,954,71
781,955,47
782,956,99
783,956,67
784,956,74
785,956,83
786,960,98
787,963,87
788,965,41
789,966,63
790,966,70
791,968,72
792,971,63
793,972,67
794,974,44
795,977,50
796,977,93
797,979,70
798,983,83
799,984,42
800,986,56
801,987,84
802,987,79
803,989,42
804,995,51
805,996,75
806,996,63
807,997,52
808,998,73
809,999,90
810,1002,84
811,1002,72
812,1002,44
813,1003,71
814,1004,80
815,1005,57
816,1005,57
817,1006,71
818,1008,66
819,1013,51
820,1013,83
821,1015,89
822,1015,63
823,1015,74
824,1016,79
825,1016,93
826,1018,71
827,1018,65
828,1019,84
829,1021,48
830,1021,80
831,1021,55
832,1022,60
833,1023,52
834,1024,90
835,1025,58
836,1026,88
837,1026,48
838,1027,64
839,1029,80
840,1029,70
841,1032,99
842,1034,89
843,1035,53
844,1037,99
845,1041,69
846,1042,61
847,1043,88
848,1049,94
849,1049,81
850,1050,87
851,1051,89
852,1052,63
853,1052,95
854,1053,47
855,1054,51
856,1055,85
857,1056,56
858,1056,72
859,1059,99
860,1060,64
861,1060,57
862,1062,72
863,1063,67
864,1067,67
865,1069,56
866,1070,71
867,1072,83
868,1074,42
869,1075,62
870,1077,75
871,1081,92
872,1081,58
873,1081,95
874,1081,67
875,1083,56
876,1083,83
877,1085,70
878,1086,71
879,1087,69
880,1088,87
881,1089,50
882,1089,75
883,1090,83
884,1091,95
885,1092,88
886,1092,54
887,1092,68
888,1096,97
889,1097,53
890,1098,41
891,1099,45
892,1099,62
893,1100,93
894,1100,75
895,1100,64
896,1101,69
897,1101,55
898,1102,66
899,1103,59
900,1106,57
901,1107,66
902,1108,56
903,1109,62
904,1110,79
905,1111,42
906,1112,88
907,1112,91
908,1114,65
909,1114,80
910,1114,64
911,1117,55
912,1117,55
913,1120,94
914,1121,80
915,1123,45
916,1128,74
917,1132,96
918,1134,48
919,1136,82
920,1137,89
921,1137,87
922,1137,43
923,1138,43
924,1139,86
925,1140,116
926,1141,181
927,1142,148
928,1143,176
929,1145,186
930,1145,118
931,1147,109
932,1148,153
933,1148,188
934,1149,116
935,1150,194
936,1151,118
937,1151,125
938,1151,135
939,1151,124
940,1152,147
941,1157,156
942,1161,126
943,1161,191
944,1161,190
945,1161,165
946,1162,157
947,1165,119
948,1165,133
949,1165,188
950,1167,132
951,1168,175
952,1169,113
953,1172,117
954,1172,187
955,1173,151
956,1174,200
957,1178,137
958,1180,178
959,1181,191
960,1182,108
961,1182,161
962,1183,185
963,1185,178
964,1185,186
965,1186,173
966,1186,195
967,1187,135
968,1190,105
969,1191,138
970,1193,143
971,1193,180
972,1194,183
973,1194,112
974,1196,132
975,1800,1
976,1800,4
977,1800,1
978,1800,2
979,1800,5
980,1800,2
981,2400,3
982,2400,5
983,2400,2
984,2400,4
985,2400,5
986,2400,1
987,2400,4
988,2400,3
989,2400,1
990,2400,5
991,2400,3
992,2400,5
993,2400,5
994,2400,5
995,2400,5
996,2980,2
997,2985,4
998,2990,2
999,2995,1
