PID,ArrivalTime,InstructionCount
0,1,200
1,2,1
2,2,3
3,4,1
4,4,3
5,5,1
6,8,2
7,11,2
8,13,4
9,14,1
10,17,3
11,19,3
12,20,3
13,20,4
14,21,3
15,23,2
16,25,1
17,28,2
18,30,2
19,32,1
20,37,3
21,39,4
22,39,3
23,41,5
24,45,2
25,47,5
26,47,2
27,48,4
28,49,2
29,50,1
30,50,1
31,51,5
32,52,5
33,58,4
34,58,5
35,59,5
36,60,4
37,62,4
38,64,5
39,66,2
40,68,1
41,68,4
42,68,5
43,69,4
44,69,4
45,72,5
46,74,1
47,75,5
48,76,2
49,76,4
50,78,1
51,78,3
52,79,2
53,79,3
54,79,4
55,80,1
56,80,5
57,81,3
58,82,4
59,82,4
60,83,4
61,85,2
62,85,3
63,86,1
64,90,4
65,93,3
66,95,1
67,98,3
68,101,5
69,102,4
70,103,4
71,104,2
72,106,3
73,106,2
74,108,3
75,109,1
76,110,5
77,111,1
78,112,5
79,112,5
80,112,5
81,113,2
82,119,4
83,120,2
84,121,1
85,121,2
86,123,1
87,124,2
88,124,5
89,126,3
90,129,4
91,129,3
92,130,1
93,130,4
94,133,4
95,133,5
96,134,3
97,134,5
98,134,1
99,136,1
100,138,5
101,139,2
102,142,2
103,143,1
104,145,1
105,145,2
106,147,4
107,148,5
108,149,2
109,151,5
110,152,3
111,153,3
112,155,3
113,156,2
114,157,4
115,157,1
116,158,1
117,160,2
118,160,5
119,162,1
120,166,3
121,166,2
122,168,4
123,170,4
124,172,4
125,173,3
126,173,2
127,175,2
128,175,2
129,176,2
130,176,3
131,177,1
132,182,2
133,183,2
134,184,4
135,184,4
136,184,3
137,186,1
138,188,3
139,189,1
140,189,5
141,189,5
142,190,1
143,190,5
144,191,1
145,192,4
146,195,3
147,196,4
148,196,4
149,197,1
150,197,5
151,197,5
152,198,1
153,199,5
154,199,2
155,200,2
156,201,2
157,201,3
158,202,4
159,205,1
160,208,3
161,208,3
162,217,4
163,217,5
164,220,3
165,221,4
166,221,1
167,222,4
168,223,1
169,225,4
170,229,4
171,230,4
172,232,4
173,234,5
174,236,4
175,239,3
176,239,2
177,240,3
178,240,3
179,242,5
180,243,5
181,244,2
182,244,3
183,245,5
184,245,4
185,246,5
186,246,2
187,246,2
188,248,3
189,251,4
190,251,1
191,252,1
192,252,4
193,252,4
194,253,5
195,255,2
196,257,3
197,259,5
198,259,4
199,259,5
200,262,2
201,262,1
202,262,2
203,262,4
204,263,1
205,265,15
206,266,7
207,268,8
208,269,11
209,269,7
210,272,10
211,276,7
212,277,14
213,278,9
214,281,8
215,281,6
216,284,8
217,286,6
218,286,14
219,287,12
220,291,11
221,291,9
222,292,15
223,292,10
224,294,10
225,296,6
226,297,13
227,297,10
228,298,6
229,299,11
230,300,1
231,300,5
232,300,2
233,300,2
234,300,2
