PID,ArrivalTime,InstructionCount
0,0,199
1,1,4
2,2,4
3,3,5
4,3,5
5,3,3
6,5,2
7,6,4
8,6,5
9,8,5
10,10,3
11,12,3
12,14,1
13,14,1
14,16,1
15,23,2
16,23,2
17,25,3
18,28,1
19,32,3
20,33,1
21,36,5
22,36,4
23,36,3
24,37,5
25,41,2
26,42,2
27,43,1
28,44,4
29,50,5
30,50,4
31,50,2
32,51,3
33,51,1
34,53,1
35,53,3
36,55,5
37,56,3
38,57,4
39,59,5
40,60,3
41,60,4
42,61,4
43,63,3
44,65,5
45,67,5
46,68,1
47,70,1
48,70,1
49,73,1
50,75,1
51,76,2
52,76,2
53,77,2
54,77,4
55,77,5
56,80,5
57,81,5
58,86,4
59,86,5
60,87,5
61,89,1
62,91,1
63,91,4
64,91,4
65,95,1
66,96,5
67,96,1
68,97,5
69,97,4
70,97,4
71,97,1
72,97,5
73,98,3
74,98,2
75,99,2
76,99,4
77,100,5
78,102,4
79,103,1
80,104,3
81,106,5
82,106,4
83,109,2
84,111,4
85,111,1
86,111,2
87,112,4
88,113,1
89,114,2
90,115,5
91,115,3
92,116,5
93,119,4
94,128,3
95,129,1
96,129,5
97,131,4
98,131,4
99,132,2
100,134,3
101,135,5
102,137,3
103,138,3
104,139,1
105,139,1
106,140,5
107,140,4
108,141,4
109,142,3
110,142,1
111,143,2
112,147,4
113,149,5
114,151,4
115,153,2
116,154,4
117,157,4
118,161,4
119,162,3
120,163,1
121,167,3
122,168,3
123,168,5
124,170,3
125,173,5
126,174,4
127,176,5
128,177,1
129,178,5
130,178,4
131,180,2
132,181,1
133,181,3
134,181,1
135,184,2
136,188,2
137,189,4
138,191,2
139,194,3
140,196,2
141,197,1
142,200,3
143,201,1
144,201,3
145,201,3
146,205,4
147,205,2
148,206,2
149,206,2
150,207,1
151,208,2
152,208,2
153,208,3
154,210,3
155,211,4
156,211,5
157,212,2
158,213,3
159,213,5
160,219,1
161,220,5
162,220,1
163,220,5
164,220,5
165,221,2
166,223,4
167,223,4
168,225,3
169,226,4
170,227,5
171,228,4
172,230,2
173,230,4
174,232,3
175,234,1
176,234,1
177,234,5
178,234,2
179,234,2
180,235,4
181,238,1
182,239,4
183,242,2
184,242,4
185,244,5
186,245,3
187,245,2
188,246,2
189,248,4
190,249,5
191,257,1
192,257,3
193,261,3
194,262,2
195,263,2
196,263,3
197,265,3
198,266,5
199,266,2
200,267,1
201,269,1
202,269,3
203,270,1
204,271,3
205,274,6
206,276,13
207,278,13
208,280,12
209,281,7
210,283,13
211,283,10
