PID,ArrivalTime,InstructionCount
0,2,200
1,4,1
2,5,2
3,6,2
4,8,2
5,9,2
6,9,5
7,12,4
8,12,2
9,13,5
10,14,5
11,14,2
12,15,3
13,18,3
14,19,1
15,19,3
16,24,5
17,25,5
18,25,2
19,27,2
20,27,5
21,27,1
22,29,4
23,30,1
24,31,3
25,34,4
26,36,2
27,37,4
28,38,1
29,41,5
30,43,5
31,43,1
32,44,4
33,44,5
34,45,3
35,47,1
36,48,1
37,49,3
38,50,2
39,52,2
40,53,5
41,54,4
42,54,1
43,56,2
44,57,2
45,57,5
46,57,1
47,58,3
48,58,1
49,58,2
50,59,4
51,63,5
52,63,4
53,64,5
54,65,1
55,68,5
56,68,5
57,68,5
58,69,3
59,72,5
60,72,1
61,73,3
62,74,1
63,74,2
64,74,2
65,75,5
66,75,5
67,77,2
68,78,1
69,79,1
70,80,4
71,82,2
72,82,5
73,85,1
74,87,5
75,89,4
76,91,4
77,92,2
78,93,1
79,93,4
80,94,1
81,96,3
82,96,5
83,100,2
84,101,1
85,103,4
86,106,3
87,106,5
88,107,4
89,107,2
90,111,1
91,114,2
92,117,2
93,117,4
94,119,3
95,119,5
96,120,4
97,120,1
98,121,2
99,123,4
100,127,5
101,128,1
102,130,4
103,132,4
104,134,2
105,143,5
106,143,5
107,144,2
108,147,4
109,149,4
110,149,2
111,151,1
112,151,4
113,151,3
114,152,2
115,153,2
116,153,1
117,154,4
118,154,4
119,155,2
120,156,4
121,156,2
122,156,1
123,158,5
124,160,4
125,162,4
126,163,5
127,164,1
128,165,3
129,169,2
130,170,3
131,171,5
132,172,3
133,173,3
134,176,4
135,177,3
136,177,2
137,178,2
138,181,4
139,181,5
140,182,1
141,182,3
142,185,5
143,185,5
144,187,1
145,187,5
146,188,2
147,188,2
148,194,1
149,195,4
150,195,4
151,197,4
152,198,2
153,199,3
154,199,1
155,200,5
156,201,3
157,201,3
158,203,1
159,205,4
160,207,5
161,208,1
162,210,1
163,213,2
164,213,5
165,213,3
166,213,3
167,218,2
168,222,1
169,223,3
170,225,2
171,227,2
172,230,4
173,231,4
174,233,3
175,233,5
176,234,4
177,236,1
178,237,1
179,242,1
180,247,5
181,248,5
182,252,3
183,252,1
184,253,3
185,255,2
186,256,4
187,256,1
188,257,2
189,259,1
190,260,5
191,260,5
192,260,2
193,261,3
194,266,5
195,270,5
196,270,2
197,270,2
198,272,3
199,272,5
200,275,2
201,276,3
202,276,4
203,277,2
